Mercury;0.383
Venus;0.949
Earth?;1.000
Mars;0.532
Jupiter;11.209
Saturn;9.449
Uranus;4.007
Neptune;3.883
Ceres;0.0742
Orcus;0.072
Pluto;0.186
Haumea;0.13
Quaoar;0.087
Makemake;0.11
Gonggong;0.10
Eris;0.18
Sedna;0.078
